Utterance_ID,Dialogue_ID,video_path,audio_path,Transcription,duration,split,target_stress,dataset_origin
train_dia0_utt0,0,train_splits/dia0_utt0.mp4,MELD_Audio/train_dia0_utt0.wav,also I was the point person on my company's transition from the KL-5 to GR-6 system.,5.672333333333333,train,0,MELD
train_dia0_utt1,0,train_splits/dia0_utt1.mp4,MELD_Audio/train_dia0_utt1.wav,You must've had your hands full.,1.5014999999999998,train,0,MELD
train_dia0_utt2,0,train_splits/dia0_utt2.mp4,MELD_Audio/train_dia0_utt2.wav,That I did. That I did.,2.919583333333333,train,0,MELD
train_dia0_utt3,0,train_splits/dia0_utt3.mp4,MELD_Audio/train_dia0_utt3.wav,So let's talk a little bit about your duties.,2.75275,train,0,MELD
train_dia0_utt4,0,train_splits/dia0_utt4.mp4,MELD_Audio/train_dia0_utt4.wav,My duties? All right.,6.464791666666666,train,0,MELD
train_dia0_utt5,0,train_splits/dia0_utt5.mp4,MELD_Audio/train_dia0_utt5.wav,"Now you'll be heading a whole division, so you'll have a lot of duties.",3.2115416666666663,train,0,MELD
train_dia0_utt6,0,train_splits/dia0_utt6.mp4,MELD_Audio/train_dia0_utt6.wav,I see.,3.0864166666666666,train,0,MELD
train_dia0_utt7,0,train_splits/dia0_utt7.mp4,MELD_Audio/train_dia0_utt7.wav,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,5.714041666666667,train,0,MELD
train_dia0_utt8,0,train_splits/dia0_utt8.mp4,MELD_Audio/train_dia0_utt8.wav,Good to know.,1.001,train,0,MELD
train_dia0_utt9,0,train_splits/dia0_utt9.mp4,MELD_Audio/train_dia0_utt9.wav,We can go into detail,2.2105416666666664,train,0,MELD
train_dia0_utt10,0,train_splits/dia0_utt10.mp4,MELD_Audio/train_dia0_utt10.wav,No don't I beg of you!,2.002,train,1,MELD
train_dia0_utt11,0,train_splits/dia0_utt11.mp4,MELD_Audio/train_dia0_utt11.wav,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.",8.299958333333333,train,0,MELD
train_dia0_utt12,0,train_splits/dia0_utt12.mp4,MELD_Audio/train_dia0_utt12.wav,Really?!,3.0864166666666666,train,0,MELD
train_dia0_utt13,0,train_splits/dia0_utt13.mp4,MELD_Audio/train_dia0_utt13.wav,Absolutely. You can relax,3.128125,train,0,MELD
train_dia1_utt0,1,train_splits/dia1_utt0.mp4,MELD_Audio/train_dia1_utt0.wav,But then who? The waitress I went out with last month?,2.460789756115614,train,0,MELD
train_dia1_utt1,1,train_splits/dia1_utt1.mp4,MELD_Audio/train_dia1_utt1.wav,You know? Forget it!,2.210539950408941,train,0,MELD
train_dia1_utt2,1,train_splits/dia1_utt2.mp4,MELD_Audio/train_dia1_utt2.wav,"No-no-no-no, no! Who, who were you talking about?",4.754746308426779,train,0,MELD
train_dia1_utt3,1,train_splits/dia1_utt3.mp4,MELD_Audio/train_dia1_utt3.wav,"No, I-I-I-I don't, I actually don't know",2.502498057066726,train,1,MELD
train_dia1_utt4,1,train_splits/dia1_utt4.mp4,MELD_Audio/train_dia1_utt4.wav,Ok!,1.1678324266311388,train,0,MELD
train_dia1_utt5,1,train_splits/dia1_utt5.mp4,MELD_Audio/train_dia1_utt5.wav,"All right, well...",1.4597905332889234,train,0,MELD
train_dia1_utt8,1,train_splits/dia1_utt8.mp4,MELD_Audio/train_dia1_utt8.wav,"Yeah, sure!",2.001998445653381,train,0,MELD
train_dia2_utt0,2,train_splits/dia2_utt0.mp4,MELD_Audio/train_dia2_utt0.wav,"Hey, Mon.",1.0844158247289146,train,0,MELD
train_dia2_utt1,2,train_splits/dia2_utt1.mp4,MELD_Audio/train_dia2_utt1.wav,Hey-hey-hey. You wanna hear something that sucks.,1.4597905332889234,train,0,MELD
train_dia2_utt2,2,train_splits/dia2_utt2.mp4,MELD_Audio/train_dia2_utt2.wav,Do I ever.,1.7934569408978205,train,0,MELD
train_dia2_utt3,2,train_splits/dia2_utt3.mp4,MELD_Audio/train_dia2_utt3.wav,Chris says they're closing down the bar.,1.710040338995596,train,0,MELD
train_dia2_utt4,2,train_splits/dia2_utt4.mp4,MELD_Audio/train_dia2_utt4.wav,No way!,1.0009992228266904,train,0,MELD
train_dia2_utt5,2,train_splits/dia2_utt5.mp4,MELD_Audio/train_dia2_utt5.wav,"Yeah, apparently they're turning it into some kinda coffee place.",2.210539950408941,train,0,MELD
train_dia2_utt6,2,train_splits/dia2_utt6.mp4,MELD_Audio/train_dia2_utt6.wav,Just coffee! Where are we gonna hang out now?,4.796454609377891,train,0,MELD
train_dia2_utt7,2,train_splits/dia2_utt7.mp4,MELD_Audio/train_dia2_utt7.wav,Got me.,2.6693312608711746,train,0,MELD
train_dia2_utt8,2,train_splits/dia2_utt8.mp4,MELD_Audio/train_dia2_utt8.wav,Can I get a beer.,0.6673328152177936,train,0,MELD
train_dia2_utt9,2,train_splits/dia2_utt9.mp4,MELD_Audio/train_dia2_utt9.wav,"Hey, did you pick a roommate?",1.9602901447022687,train,0,MELD
train_dia2_utt10,2,train_splits/dia2_utt10.mp4,MELD_Audio/train_dia2_utt10.wav,You betcha!,0.7924577180711299,train,0,MELD
train_dia2_utt11,2,train_splits/dia2_utt11.mp4,MELD_Audio/train_dia2_utt11.wav,Is it the Italian guy?,1.1678324266311388,train,0,MELD
train_dia2_utt12,2,train_splits/dia2_utt12.mp4,MELD_Audio/train_dia2_utt12.wav,"Um-mm, yeah right!",1.209540727582251,train,0,MELD
train_dia3_utt0,3,train_splits/dia3_utt0.mp4,MELD_Audio/train_dia3_utt0.wav,"Oh my God, oh my God! Poor Monica!",2.3356648532622777,train,0,MELD
train_dia3_utt1,3,train_splits/dia3_utt1.mp4,MELD_Audio/train_dia3_utt1.wav,"What, what, what?!",1.1261241256800267,train,0,MELD
train_dia3_utt2,3,train_splits/dia3_utt2.mp4,MELD_Audio/train_dia3_utt2.wav,What?!,1.1678324266311388,train,0,MELD
train_dia3_utt3,3,train_splits/dia3_utt3.mp4,MELD_Audio/train_dia3_utt3.wav,He was with her when he wrote this poem.,2.419081455164502,train,0,MELD
train_dia3_utt4,3,train_splits/dia3_utt4.mp4,MELD_Audio/train_dia3_utt4.wav,"Look, 'My vessel so empty with nothing inside.",2.8361644646756226,train,0,MELD
train_dia3_utt5,3,train_splits/dia3_utt5.mp4,MELD_Audio/train_dia3_utt5.wav,"Now that I've touched you, you seem emptier still.'",2.9195810665778468,train,0,MELD
train_dia3_utt6,3,train_splits/dia3_utt6.mp4,MELD_Audio/train_dia3_utt6.wav,"He thinks Monica is empty, she is the empty vase!",2.9195810665778468,train,0,MELD
train_dia3_utt8,3,train_splits/dia3_utt8.mp4,MELD_Audio/train_dia3_utt8.wav,"Oh, totally. Oh, God, oh, she seemed so happy too.",2.752747862773399,train,0,MELD
train_dia3_utt9,3,train_splits/dia3_utt9.mp4,MELD_Audio/train_dia3_utt9.wav,Done.,1.5014988342400355,train,0,MELD
train_dia4_utt0,4,train_splits/dia4_utt0.mp4,MELD_Audio/train_dia4_utt0.wav,Hey!,0.9592909218755784,train,0,MELD
train_dia4_utt1,4,train_splits/dia4_utt1.mp4,MELD_Audio/train_dia4_utt1.wav,Hi!,0.1251249028533363,train,0,MELD
train_dia4_utt2,4,train_splits/dia4_utt2.mp4,MELD_Audio/train_dia4_utt2.wav,What are you doing here?,1.1261241256800267,train,0,MELD
train_dia4_utt3,4,train_splits/dia4_utt3.mp4,MELD_Audio/train_dia4_utt3.wav,"Ah y'know, this building is on my paper route so I...",2.752747862773399,train,0,MELD
train_dia4_utt4,4,train_splits/dia4_utt4.mp4,MELD_Audio/train_dia4_utt4.wav,Oh.,1.3763739313866994,train,0,MELD
train_dia4_utt5,4,train_splits/dia4_utt5.mp4,MELD_Audio/train_dia4_utt5.wav,Hi.,0.0834166019022242,train,0,MELD
train_dia4_utt6,4,train_splits/dia4_utt6.mp4,MELD_Audio/train_dia4_utt6.wav,Hi.,0.2085415047555605,train,0,MELD
train_dia4_utt7,4,train_splits/dia4_utt7.mp4,MELD_Audio/train_dia4_utt7.wav,How'd did it go?,1.0427075237778023,train,0,MELD
train_dia4_utt8,4,train_splits/dia4_utt8.mp4,MELD_Audio/train_dia4_utt8.wav,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",8.049702083564636,train,0,MELD
train_dia4_utt9,4,train_splits/dia4_utt9.mp4,MELD_Audio/train_dia4_utt9.wav,I'm so proud of you.,1.3763739313866994,train,0,MELD
train_dia4_utt10,4,train_splits/dia4_utt10.mp4,MELD_Audio/train_dia4_utt10.wav,Me too!,1.5432071351911476,train,0,MELD
train_dia4_utt11,4,train_splits/dia4_utt11.mp4,MELD_Audio/train_dia4_utt11.wav,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",9.300951112097998,train,0,MELD
train_dia4_utt12,4,train_splits/dia4_utt12.mp4,MELD_Audio/train_dia4_utt12.wav,I know.,1.0427075237778023,train,0,MELD
train_dia4_utt13,4,train_splits/dia4_utt13.mp4,MELD_Audio/train_dia4_utt13.wav,Yeah.,0.417083009511121,train,0,MELD
train_dia4_utt14,4,train_splits/dia4_utt14.mp4,MELD_Audio/train_dia4_utt14.wav,Yeah.,0.6673328152177936,train,0,MELD
train_dia5_utt0,5,train_splits/dia5_utt0.mp4,MELD_Audio/train_dia5_utt0.wav,Ameri-can.,1.7517486399467082,train,0,MELD
train_dia5_utt1,5,train_splits/dia5_utt1.mp4,MELD_Audio/train_dia5_utt1.wav,Ameri-ccan.,0.1668332038044484,train,0,MELD
train_dia5_utt2,5,train_splits/dia5_utt2.mp4,MELD_Audio/train_dia5_utt2.wav,Ameri-can. Y'know it's a,2.9195810665778468,train,0,MELD
train_dia5_utt3,5,train_splits/dia5_utt3.mp4,MELD_Audio/train_dia5_utt3.wav,Everybody!!,2.8361644646756226,train,0,MELD
train_dia6_utt0,6,train_splits/dia6_utt0.mp4,MELD_Audio/train_dia6_utt0.wav,Good job Joe! Well done! Top notch!,3.2115416666666663,train,0,MELD
train_dia6_utt1,6,train_splits/dia6_utt1.mp4,MELD_Audio/train_dia6_utt1.wav,You liked it? You really liked it?,1.5849166666666663,train,0,MELD
train_dia6_utt2,6,train_splits/dia6_utt2.mp4,MELD_Audio/train_dia6_utt2.wav,"Oh-ho-ho, yeah!",1.6683333333333332,train,0,MELD
train_dia6_utt3,6,train_splits/dia6_utt3.mp4,MELD_Audio/train_dia6_utt3.wav,Which part exactly?,2.002,train,0,MELD
train_dia6_utt4,6,train_splits/dia6_utt4.mp4,MELD_Audio/train_dia6_utt4.wav,The whole thing! Can we go?,2.5859166666666664,train,0,MELD
