Utterance_ID,Session,Emotion,Valence,Arousal,Dominance,Text,Start_Time,End_Time,Path_Wav_Audio,Path_Video_Processed,Path_Source_Video,duration,Dialogue_ID,word_count,target_stress
Ses01F_impro01_F000,1,neutral,2.5,2.5,2.5,Excuse me.,6.2901,8.2357,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,IEMOCAP_CLIPS/Ses01F_impro01_F000.mp4,Session1/dialog/avi/DivX/Ses01F_impro01.avi,1.9455999999999998,Ses01F_impro01,2,0
Ses01F_impro01_F001,1,neutral,2.5,2.5,2.5,Yeah.,10.01,11.3925,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,IEMOCAP_CLIPS/Ses01F_impro01_F001.mp4,Session1/dialog/avi/DivX/Ses01F_impro01.avi,1.3825000000000003,Ses01F_impro01,1,0
Ses01F_impro01_F002,1,neutral,2.5,2.5,2.5,Is there a problem?,14.8872,18.0175,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,IEMOCAP_CLIPS/Ses01F_impro01_F002.mp4,Session1/dialog/avi/DivX/Ses01F_impro01.avi,3.1302999999999983,Ses01F_impro01,4,0
Ses01F_impro01_F005,1,neutral,2.5,3.5,2.0,Well what's the problem? Let me change it.,27.46,31.49,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,IEMOCAP_CLIPS/Ses01F_impro01_F005.mp4,Session1/dialog/avi/DivX/Ses01F_impro01.avi,4.029999999999998,Ses01F_impro01,8,0
Ses01F_impro01_F006,1,frustration,2.0,3.5,3.5,What? I'm getting an ID. This is why I'm here. My wallet was stolen.,38.965,43.59,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F006.wav,IEMOCAP_CLIPS/Ses01F_impro01_F006.mp4,Session1/dialog/avi/DivX/Ses01F_impro01.avi,4.625,Ses01F_impro01,14,1
Ses01F_impro01_F007,1,frustration,2.5,3.5,3.5,How am I supposed to get an ID without an ID? How does a person get an ID in the first place?,46.58,52.19,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F007.wav,IEMOCAP_CLIPS/Ses01F_impro01_F007.mp4,Session1/dialog/avi/DivX/Ses01F_impro01.avi,5.609999999999999,Ses01F_impro01,22,1
Ses01F_impro01_F008,1,frustration,2.0,3.5,3.5,I'm here to get an ID.,56.16,58.8225,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F008.wav,IEMOCAP_CLIPS/Ses01F_impro01_F008.mp4,Session1/dialog/avi/DivX/Ses01F_impro01.avi,2.6625000000000014,Ses01F_impro01,6,1
Ses01F_impro01_F009,1,frustration,2.0,3.5,3.0,Like what? Like a birth certificate?,61.87,65.97,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F009.wav,IEMOCAP_CLIPS/Ses01F_impro01_F009.mp4,Session1/dialog/avi/DivX/Ses01F_impro01.avi,4.100000000000001,Ses01F_impro01,6,1
Ses01F_impro01_F011,1,frustration,2.0,3.5,3.5,"Yes but my wallet was stolen, I don't have anything. I don't have any credit cards, I don't have my ID. Don't you have things on file here?",72.45,82.26,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F011.wav,IEMOCAP_CLIPS/Ses01F_impro01_F011.mp4,Session1/dialog/avi/DivX/Ses01F_impro01.avi,9.810000000000002,Ses01F_impro01,28,1
Ses01F_impro01_F012,1,anger,2.0,3.5,3.5,That's out of control.,85.27,88.02,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,IEMOCAP_CLIPS/Ses01F_impro01_F012.mp4,Session1/dialog/avi/DivX/Ses01F_impro01.avi,2.75,Ses01F_impro01,4,1
